2238517
5116
84            998243          
1            1          "90
6            46          "a
1            1          "absolutely
1            1          "absurd"
1            1          "admitting
3            5          "all
1            1          "allowed
1            1          "always
1            1          "amateur
1            1          "amazing
1            2          "america
1            1          "amnesty"graham
1            12          "an
3            9          "and
1            1          "anyone
1            1          "anyone"
1            3          "at
1            3          "be
2            2          "because
1            1          "begging
1            1          "better
1            1          "black
1            1          "blatant
1            1          "braddock
1            1          "brags
1            1          "ca"
1            1          "campaign
1            1          "cancer"
1            1          "careless
1            1          "catastrophic"
1            1          "cheating
1            1          "clearly
1            1          "confident
1            1          "consistent
1            1          "cool
1            1          "corrupted"
2            2          "could
1            1          "cryin'
1            2          "curable
1            1          "cut
1            1          "darn
1            1          "day
1            1          "de-emphasize
1            1          "declaring
1            1          "democratic
1            1          "didn't
1            1          "disaster"
1            1          "disturbing"
1            1          "divisive""an
1            1          "double-down
1            1          "driving
1            1          "dumb"
1            1          "economic
1            1          "election
1            1          "emergency
1            1          "emphasize
1            1          "eveready
1            1          "everyone
1            1          "first
1            3          "for
1            1          "full
1            1          "get
1            1          "gifted
1            1          "god
1            1          "greedy"
1            1          "had
1            1          "handful"
1            1          "have
5            9          "he's
1            1          "healer
1            1          "hillary
3            4          "his
1            1          "hispanics
1            1          "honest"
1            1          "huge
1            1          "humble"___7:50
8            86          "i
7            12          "i'm
5            9          "if
2            9          "in
1            1          "inhuman"
1            1          "insiders""it's
1            2          "instead
1            1          "institutional
1            1          "iran
1            2          "is
5            23          "it
6            15          "it's
1            1          "just
1            1          "knowledge
1            1          "lagging
2            2          "leading
1            1          "legitimate"
1            1          "lick
1            3          "like
1            2          "look
1            1          "loopholes"
1            1          "love
1            1          "low-energy"
1            1          "made
1            1          "many
1            1          "may
1            2          "maybe
2            2          "meet
1            1          "minimum
1            1          "misguided
3            3          "more
1            1          "morning
1            1          "most
2            2          "no
1            1          "nobody
1            1          "now
1            1          "ohio
1            3          "on
1            1          "once
1            1          "one
1            1          "or
1            1          "out
1            1          "out-of-date"
1            1          "outing"
1            1          "outsider"
1            1          "peace
2            3          "people
1            1          "perfectly
1            1          "phenomenal
2            2          "political
1            1          "politics
1            1          "power
1            1          "protect
1            2          "punch
1            1          "punching
1            1          "puppets"
1            1          "reaching
1            2          "reagan
1            1          "reagan-inspired"
1            1          "repatriate"
1            1          "right
1            1          "run
1            1          "sadly
1            1          "sanctuary
1            1          "say
1            1          "serious
1            1          "share"
3            10          "she
4            5          "she's
2            2          "shining
1            1          "should
1            1          "show
1            1          "sick"
1            1          "simple
2            6          "so
2            4          "some
1            1          "somehow
1            1          "sorry
1            1          "strategic
1            1          "strength
1            1          "stupid"
1            1          "supported
1            1          "sustainability
1            1          "take
1            1          "tear
1            1          "telling
1            2          "that
9            52          "the
1            1          "their
1            1          "then
3            4          "there
1            1          "these
3            5          "they
4            9          "this
1            4          "to
1            1          "totally
1            1          "tough
1            1          "traveling
1            1          "tremendous
1            1          "trying
1            1          "ugly"
1            1          "unfair"
1            1          "unfit
1            1          "vampire"
2            2          "very
1            1          "want
1            1          "war
2            3          "was
3            13          "we
5            5          "we're
1            2          "we've
1            3          "what
4            5          "when
1            1          "wherever
1            1          "while
1            1          "who
1            2          "why
1            2          "wild
1            1          "wild-eyed
3            3          "will
1            1          "wonderful
